item,value,symbol
股票代码,601000,601000
股票简称,唐山港,601000
总股本,5925928614.0,601000
流通股,5925928614.0,601000
总市值,28859272350.18,601000
流通市值,28859272350.18,601000
行业,航运港口,601000
上市时间,20100705,601000
股票代码,000803,000803
股票简称,山高环能,000803
总股本,476696361.0,000803
流通股,456341225.0,000803
总市值,1506360500.76,000803
流通市值,1442038271.0,000803
行业,综合行业,000803
上市时间,19980303,000803
股票代码,301063,301063
股票简称,海锅股份,301063
总股本,104360724.0,301063
流通股,61133724.0,301063
总市值,1596719077.2,301063
流通市值,935345977.2,301063
行业,风电设备,301063
上市时间,20210924,301063
股票代码,000761,000761
股票简称,本钢板材,000761
总股本,4108221073.0,000761
流通股,3708221073.0,000761
总市值,10270552682.5,000761
流通市值,9270552682.5,000761
行业,钢铁行业,000761
上市时间,19980115,000761
股票代码,000801,000801
股票简称,四川九洲,000801
总股本,1022806646.0,000801
流通股,1022806646.0,000801
总市值,9338224677.980001,000801
流通市值,9338224677.980001,000801
行业,家电行业,000801
上市时间,19980506,000801
股票代码,300594,300594
股票简称,朗进科技,300594
总股本,91877450.0,300594
流通股,90852251.0,300594
总市值,1363461358.0,300594
流通市值,1348247404.84,300594
行业,交运设备,300594
上市时间,20190621,300594
股票代码,002801,002801
股票简称,微光股份,002801
总股本,229632000.0,002801
流通股,115802700.0,002801
总市值,4082856960.0000005,002801
流通市值,2058972006.0000002,002801
行业,电机,002801
上市时间,20160622,002801
股票代码,002967,002967
股票简称,广电计量,002967
总股本,575225846.0,002967
流通股,506465841.0,002967
总市值,6965984995.059999,002967
流通市值,6133301334.509999,002967
行业,专业服务,002967
上市时间,20191108,002967
股票代码,600187,600187
股票简称,国中水务,600187
总股本,1613781103.0,600187
流通股,1613781103.0,600187
总市值,2501360709.65,600187
流通市值,2501360709.65,600187
行业,公用事业,600187
上市时间,19981111,600187
股票代码,832802,832802
股票简称,保丽洁,832802
总股本,63083300.0,832802
流通股,15873918.0,832802
总市值,555133040.0,832802
流通市值,139690478.4,832802
行业,环保行业,832802
上市时间,20230206,832802
股票代码,600750,600750
股票简称,江中药业,600750
总股本,629128757.0,600750
流通股,625574070.0,600750
总市值,14564330724.55,600750
流通市值,14482039720.5,600750
行业,中药,600750
上市时间,19960923,600750
股票代码,300563,300563
股票简称,神宇股份,300563
总股本,177682526.0,300563
流通股,123039000.0,300563
总市值,5838647804.36,300563
流通市值,4043061540.0,300563
行业,通信设备,300563
上市时间,20161114,300563
股票代码,301533,301533
股票简称,威马农机,301533
总股本,98306700.0,301533
流通股,22881785.0,301533
总市值,2673942240.0,301533
流通市值,622384552.0,301533
行业,专用设备,301533
上市时间,20230818,301533
股票代码,300761,300761
股票简称,立华股份,300761
总股本,827644501.0,300761
流通股,604899090.0,300761
总市值,19863468024.0,300761
流通市值,14517578160.0,300761
行业,农牧饲渔,300761
上市时间,20190218,300761
股票代码,601096,601096
股票简称,宏盛华源,601096
总股本,2675155088.0,601096
流通股,668788772.0,601096
总市值,10513359495.84,601096
流通市值,2628339873.96,601096
行业,电网设备,601096
上市时间,20231222,601096
股票代码,300380,300380
股票简称,安硕信息,300380
总股本,138439050.0,300380
流通股,127379543.0,300380
总市值,2077970140.5,300380
流通市值,1911966940.43,300380
行业,软件开发,300380
上市时间,20140128,300380
股票代码,688336,688336
股票简称,三生国健,688336
总股本,616785793.0,688336
流通股,92741491.0,688336
总市值,11953308668.34,688336
流通市值,1797330095.58,688336
行业,生物制品,688336
上市时间,20200722,688336
股票代码,002862,002862
股票简称,实丰文化,002862
总股本,120000000.0,002862
流通股,90177083.0,002862
总市值,1567200000.0,002862
流通市值,1177712703.98,002862
行业,家用轻工,002862
上市时间,20170411,002862
股票代码,833873,833873
股票简称,中设咨询,833873
总股本,153387002.0,833873
流通股,109180502.0,833873
总市值,449423915.86,833873
流通市值,319898870.86,833873
行业,工程咨询服务,833873
上市时间,20211115,833873
股票代码,300099,300099
股票简称,尤洛卡,300099
总股本,737265255.0,300099
流通股,581412240.0,300099
总市值,3170240596.5,300099
流通市值,2500072632.0,300099
行业,专用设备,300099
上市时间,20100806,300099
股票代码,300661,300661
股票简称,圣邦股份,300661
总股本,471908015.0,300661
流通股,452462539.0,300661
总市值,39083421802.299995,300661
流通市值,37472947479.979996,300661
行业,半导体,300661
上市时间,20170606,300661
股票代码,300771,300771
股票简称,智莱科技,300771
总股本,240000000.0,300771
流通股,181199138.0,300771
总市值,2049599999.9999998,300771
流通市值,1547440638.5199997,300771
行业,计算机设备,300771
上市时间,20190422,300771
股票代码,600242,600242
股票简称,退市中昌,600242
总股本,-,600242
流通股,-,600242
总市值,-,600242
流通市值,-,600242
行业,-,600242
上市时间,20001207,600242
股票代码,301332,301332
股票简称,德尔玛,301332
总股本,461562500.0,301332
流通股,264897500.0,301332
总市值,4130984374.9999995,301332
流通市值,2370832625.0,301332
行业,家电行业,301332
上市时间,20230518,301332
股票代码,300903,300903
股票简称,科翔股份,300903
总股本,414694422.0,300903
流通股,329787070.0,300903
总市值,2828215958.04,300903
流通市值,2249147817.4,300903
行业,电子元件,300903
上市时间,20201105,300903
股票代码,688027,688027
股票简称,国盾量子,688027
总股本,80374370.0,688027
流通股,80374370.0,688027
总市值,12217707983.699999,688027
流通市值,12217707983.699999,688027
行业,通信设备,688027
上市时间,20200709,688027
股票代码,002088,002088
股票简称,鲁阳节能,002088
总股本,511877586.0,002088
流通股,504281148.0,002088
总市值,6086224497.54,002088
流通市值,5995902849.72,002088
行业,装修建材,002088
上市时间,20061130,002088
股票代码,002443,002443
股票简称,金洲管道,002443
总股本,520535520.0,002443
流通股,519426572.0,002443
总市值,2764043611.2,002443
流通市值,2758155097.3199997,002443
行业,钢铁行业,002443
上市时间,20100706,002443
股票代码,600359,600359
股票简称,新农开发,600359
总股本,381512820.0,600359
流通股,381512820.0,600359
总市值,2166992817.6,600359
流通市值,2166992817.6,600359
行业,农牧饲渔,600359
上市时间,19990429,600359
股票代码,688310,688310
股票简称,迈得医疗,688310
总股本,165269766.0,688310
流通股,165269766.0,688310
总市值,1847715983.8799999,688310
流通市值,1847715983.8799999,688310
行业,专用设备,688310
上市时间,20191203,688310
股票代码,000697,000697
股票简称,炼石航空,000697
总股本,873100876.0,000697
流通股,581451905.0,000697
总市值,4915557931.88,000697
流通市值,3273574225.15,000697
行业,航天航空,000697
上市时间,19970325,000697
股票代码,601611,601611
股票简称,中国核建,601611
总股本,3011535009.0,601611
流通股,3011535009.0,601611
总市值,24062164721.91,601611
流通市值,24062164721.91,601611
行业,工程建设,601611
上市时间,20160606,601611
股票代码,603658,603658
股票简称,安图生物,603658
总股本,581011346.0,603658
流通股,581011346.0,603658
