code,cname,pe,pb,mv
600579,克劳斯,-4.59,8.8,2636368054.0
600123,兰花科创,10.23,0.7,11286912000.0
000679,大连友谊,-20.65,3.57,1090584000.0
603363,*ST傲农,-3.09,-2.17,3341855009.0
836720,吉冈精密,27.84,3.28,1464781780.0
600885,宏发股份,16.24,3.27,27422374276.0
873339,恒太照明,18.89,1.57,852188706.0
600900,长江电力,30.87,3.62,701503801918.0
603218,日月股份,13.27,1.1,11183016338.0
601318,中国平安,5.3,0.85,791234693674.0
600276,恒瑞医药,42.15,6.79,289287753126.0
600415,小商品城,16.38,2.62,47439490622.0
600970,中材国际,8.28,1.18,23170530905.0
603650,彤程新材,24.41,4.83,15288442233.0
001328,登康口腔,26.6,2.82,3853249644.0
003816,中国广核,14.21,1.75,201994444400.0
600131,国网信通,43.72,3.22,20321745434.0
001979,招商蛇口,28.51,0.84,80822658699.0
601872,招商轮船,10.6,1.4,52934741295.0
600268,国电南自,54.15,1.91,5791733303.0
300274,阳光电源,16.53,5.22,163970291524.0
600348,华阳股份,9.14,0.88,23737350000.0
603198,迎驾贡酒,13.89,4.42,38304000000.0
600060,海信视像,12.35,1.13,20599228648.0
688408,中信博,29.1,4.42,13463732975.0
603444,吉比特,13.19,2.76,13663315216.0
600062,华润双鹤,10.42,2.2,21815309756.0
688522,纳睿雷达,701.35,3.8,8260753788.0
601088,中国神华,12.9,1.92,760964314277.0
688082,盛美上海,40.74,5.31,36113515016.0
600611,大众交通,72.18,1.7,16170600390.0
600560,金自天正,72.99,2.96,2688218910.0
688387,信科移动-U,-143.63,2.72,17640750000.0
002294,信立泰,53.04,4.66,36499093356.0
002169,智光电气,-18.95,1.17,3419017254.0
872895,花溪科技,258.59,1.82,395102760.0
002173,创新医疗,-84.24,1.46,2700660234.0
839273,一致魔芋,10.7,1.26,711726100.0
300917,特发服务,45.1,4.95,5195060000.0
688550,瑞联新材,16.92,1.12,3225540167.0
600549,厦门钨业,11.69,2.04,23770459952.0
689009,九号公司-WD,26.01,5.51,30992136778.0
600272,开开实业,41.53,4.19,2575800000.0
